0	#	2	3	3	4	4	5	5	5	5	6	7	7	8	
0	#	0	3	4	5	5	0	0	6	6	7	0	7	9	
1	#	0	4	4	6	7	8	9	9	9	9	10	10	11	
0	#	2	4	0	6	7	9	9	10	11	11	12	12	12	
0	#	2	4	4	7	7	9	10	10	11	12	12	0	12	
0	#	#	#	5	7	7	9	11	0	11	12	12	12	12	
0	2	0	#	#	#	7	9	11	11	11	13	13	14	0	
0	2	2	5	6	#	7	0	11	11	11	14	15	16	16	
0	2	2	6	6	#	7	8	0	0	11	14	0	0	16	
0	2	2	6	7	#	#	#	#	#	12	15	16	17	18	
0	2	3	6	7	8	8	0	9	#	13	15	16	17	18	
0	2	3	7	8	8	8	9	10	#	0	15	16	17	19	
0	2	3	8	0	0	9	9	10	#	#	#	#	18	0	
0	2	4	9	10	10	10	10	11	11	0	16	17	#	19	
0	2	4	10	10	10	11	11	0	11	11	16	17	#	19	
0	2	5	10	10	11	11	0	0	11	11	16	18	#	19	
0	3	5	10	10	12	12	12	13	14	0	16	18	#	#	
0	4	5	11	12	12	0	12	13	14	15	17	19	0	#	
0	5	5	11	12	13	13	0	13	14	15	18	20	21	#	
0	5	5	11	13	13	13	13	14	14	15	18	21	22	#
